진료년도,시도,진료과목,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2020,부산,치과,1418573,4813195,4769485,3.12396E+11,2.21816E+11
2020,부산,한방,761565,7228828,7243043,1.90565E+11,1.46939E+11
2020,인천,일반의,1013770,5177893,5260468,1.3921E+11,1.04955E+11
2020,인천,내과,946436,4855134,4855733,1.74914E+11,1.34379E+11
2020,인천,신경과,19874,92706,92705,2839357610,2134113940
2020,인천,정신건강의학과,76483,614119,634537,34773604300,27292508310
2020,인천,외과,131516,472182,492275,36161019030,27157323850
2020,인천,정형외과,623855,3248499,3350184,1.10088E+11,79774694580
2020,인천,신경외과,108735,537154,551810,17690389610,12869849610
2020,인천,흉부외과,1292,3229,3229,95380930,71217040
2020,인천,성형외과,5182,13419,13419,431753710,312391950
2020,인천,마취통증의학과,142219,747163,748204,47326081680,33620597530
2020,인천,산부인과,188826,639370,667573,47556616920,36702886080
2020,인천,소아청소년과,360171,1805439,1809140,31012248230,24092222280
2020,인천,안과,601878,1468950,1468805,78533318060,58560876890
2020,인천,이비인후과,725100,2273228,2274028,52445248310,38404220530
2020,인천,피부과,326628,984206,984201,24287393530,17461680360
2020,인천,비뇨의학과,168698,530504,530457,24263307550,17437261310
2020,인천,"진단방사선과,영상의학과",20697,26038,26038,3937401890,2677431670
2020,인천,재활의학과,56418,330694,338022,14385241200,10543192800
2020,인천,가정의학과,102188,486306,486303,9570677000,7241165950
2020,인천,치과,1192765,4104869,4078592,2.48519E+11,1.76302E+11
2020,인천,한방,573765,4770935,4795992,1.28106E+11,97297711130
2020,대구,일반의,656876,3135027,3161102,1.12449E+11,82242563200
2020,대구,내과,1023748,5903767,5903650,2.07413E+11,1.59788E+11
2020,대구,신경과,99344,477974,478347,22483537760,16243837000
2020,대구,정신건강의학과,87326,677856,677855,35860274470,28234084380
2020,대구,외과,166794,621722,633029,33314541730,24960937510
2020,대구,정형외과,617445,3170583,3243928,1.09559E+11,79607589730
2020,대구,신경외과,153738,725657,728864,31582340030,22869791190
2020,대구,흉부외과,4217,17376,17378,496451050,379317890
2020,대구,성형외과,7070,16687,16699,597765370,430236840
2020,대구,마취통증의학과,144271,746887,747220,42993421900,30558725840
2020,대구,산부인과,189848,556133,558837,35950680980,25666513910
2020,대구,소아청소년과,236340,1136726,1144888,21792395440,16936611230
2020,대구,안과,648014,1723703,1723823,93894085620,71371049380
2020,대구,이비인후과,691677,2252050,2252235,54726957310,40459104100
2020,대구,피부과,401711,1132322,1132319,28884947860,20834313700
2020,대구,비뇨의학과,269756,947190,947162,46345406070,33513455720
2020,대구,"진단방사선과,영상의학과",106871,133341,133347,26675426780,18051283640
2020,대구,병리과,33,69,69,3291850,2320050
2020,대구,진단검사의학과,219,903,903,23241830,17227830
2020,대구,재활의학과,43492,219046,219362,10897109660,7911030760
2020,대구,가정의학과,72841,386611,386611,7352999050,5674151740
2020,대구,치과,1049088,3330110,3303293,2.14154E+11,1.52203E+11
2020,대구,한방,609170,4763342,4763256,1.26275E+11,95748203660
2020,광주,일반의,415405,2055758,2143878,94490273570,74359983220
2020,광주,내과,474087,2473639,2494851,78060712800,59536936470
2020,광주,신경과,18414,70647,72877,3547522550,2614593180
2020,광주,정신건강의학과,41796,316718,335381,17817873810,14271067590
2020,광주,외과,76890,282306,303559,22945867350,16944463900
2020,광주,정형외과,177565,665908,702366,30092430940,21645535850
2020,광주,신경외과,51037,228949,247429,11293493200,8211584190
2020,광주,성형외과,1153,3123,3123,108802350,78550590
2020,광주,마취통증의학과,62118,294068,294185,17779341480,12707669330
2020,광주,산부인과,76185,270873,270872,22881382470,15469663090
2020,광주,소아청소년과,119113,539878,544638,9388790090,7409476800
2020,광주,안과,365130,851944,854127,65958664970,50771584600
2020,광주,이비인후과,433329,1505414,1509846,37254168760,27459063360
2020,광주,피부과,285338,790948,790948,20413484500,14743700410
2020,광주,비뇨의학과,101660,309664,309664,15338138950,11060838670
2020,광주,"진단방사선과,영상의학과",17434,19254,19254,2429383840,1693822730
2020,광주,재활의학과,32904,202208,217111,8159129390,6041549900
2020,광주,가정의학과,118701,643302,643302,13274133340,10289330840
2020,광주,치과,717394,2381812,2364111,1.44432E+11,1.02812E+11
2020,광주,한방,262825,1888482,1891595,53393917740,40503589130
2020,대전,일반의,547751,2513592,2543237,75177453500,55827819170
2020,대전,내과,640425,3286334,3285785,1.04238E+11,78790739240
2020,대전,신경과,42932,158204,158434,8120213950,5859559850
2020,대전,정신건강의학과,61054,510136,531879,27348702330,21653178870
2020,대전,외과,102365,360891,375656,24366854910,18498720730
2020,대전,정형외과,381348,1821668,1879651,60840609860,44284151330
2020,대전,신경외과,35634,190322,190322,7520252110,5510829850
2020,대전,흉부외과,9070,24675,24675,641901240,475143010
2020,대전,성형외과,2784,6506,6506,336031650,239938450
2020,대전,마취통증의학과,70565,334696,337255,20102581440,14354567530
2020,대전,산부인과,143097,420794,445790,32974802060,25831414270
2020,대전,소아청소년과,161870,883490,884471,19680460230,15050753850
2020,대전,안과,363311,959211,958831,57405343280,43155846240
2020,대전,이비인후과,410820,1288345,1288208,28902292460,21191150500
2020,대전,피부과,230670,660902,660736,18493047930,13399095560
2020,대전,비뇨의학과,137068,449300,449310,18729905680,13546568590
2020,대전,"진단방사선과,영상의학과",63230,101504,102593,12312209450,8694761980
2020,대전,진단검사의학과,2479,11492,11492,199696280,149378380
2020,대전,재활의학과,86206,548932,550126,21696837590,15743191580
2020,대전,가정의학과,74640,345017,345019,7221659650,5447471800
2020,대전,치과,709416,2206247,2187582,1.37335E+11,97555182160
2020,대전,한방,387868,2855256,2858090,81349268170,60756508500
2020,울산,일반의,384450,1811177,1812218,42476570250,31583277310
2020,울산,내과,381660,1899406,1904824,70105368950,53528786670
2020,울산,신경과,4256,14727,14727,702834620,505390450
2020,울산,정신건강의학과,22945,206929,206929,9167188020,7209284220
2020,울산,외과,22927,72440,76309,4887029410,3686845870
2020,울산,정형외과,255112,1380884,1406544,40450181120,29314783870
2020,울산,신경외과,35759,192627,195707,5536081160,4052273480
2020,울산,흉부외과,3779,23983,23987,2392541580,2083478130
2020,울산,성형외과,1707,4726,4726,160066420,115742920
2020,울산,마취통증의학과,80135,411393,411391,19864532320,14004710310
2020,울산,산부인과,81069,279726,282937,20830830330,14699633970
2020,울산,소아청소년과,112808,559771,566350,10228537850,8023671370
2020,울산,안과,288474,693777,693911,42446713110,31650944110
2020,울산,이비인후과,268729,894409,894721,19216894730,13985617020
2020,울산,피부과,141270,417877,417877,10298306460,7390702750
2020,울산,비뇨의학과,92589,288347,288580,14231826310,10235678330
2020,울산,"진단방사선과,영상의학과",24298,32329,32328,4133607670,2846758400
2020,울산,결핵과,2319,9644,9644,131864240,109557940
2020,울산,재활의학과,19913,119442,119404,4662198390,3522787820
2020,울산,가정의학과,58995,256092,256092,4451118340,3389757970
2020,울산,치과,471141,1496780,1486284,86716839040,61551732800
2020,울산,한방,247036,1854118,1854155,50296506540,37889070650
2020,경기,일반의,4467512,21686065,21934593,6.60597E+11,4.95801E+11
2020,경기,내과,4291475,20391504,20401262,7.38221E+11,5.68624E+11
2020,경기,신경과,87213,332993,332874,15296154900,11070035800
2020,경기,정신건강의학과,336538,2798228,2873830,1.55298E+11,1.23095E+11
2020,경기,외과,650037,2370216,2445544,1.58787E+11,1.17987E+11
2020,경기,정형외과,2774289,13105961,13373108,4.56973E+11,3.29864E+11
2020,경기,신경외과,388843,1839978,1876728,75735260990,54688543300
2020,경기,흉부외과,16131,46318,46393,4142781490,3414189290
2020,경기,성형외과,22849,92290,95145,3919631230,2879267340
2020,경기,마취통증의학과,622769,3118606,3127060,1.8766E+11,1.33295E+11
2020,경기,산부인과,1048527,3520060,3716672,2.85075E+11,2.21896E+11
2020,경기,소아청소년과,1713209,8660554,8667402,1.38841E+11,1.0821E+11
2020,경기,안과,3088764,7211056,7207968,3.47049E+11,2.5816E+11
2020,경기,이비인후과,3493954,11250797,11253339,2.77885E+11,2.02628E+11
2020,경기,피부과,1785498,4814304,4814271,1.2639E+11,90654150210
2020,경기,비뇨의학과,854190,2556680,2556579,1.16946E+11,83561094200
2020,경기,"진단방사선과,영상의학과",102855,139938,139914,16586326650,11676993150
2020,경기,결핵과,2300,12023,12023,182386330,141039130
2020,경기,재활의학과,278227,1499594,1524918,61405635150,44883161800
2020,경기,가정의학과,561550,2320826,2320592,44308350810,33284867580
2020,경기,예방의학과,24,48,48,859100,697100
2020,경기,치과,5541250,17667157,17548903,1.05756E+12,7.51013E+11
2020,경기,한방,2670305,19749726,19781221,5.5257E+11,4.14117E+11
2020,강원,일반의,578122,3302585,3324051,77967431460,59359016160
2020,강원,내과,464953,2372934,2372873,78389836330,60704512120
2020,강원,신경과,16091,71198,71198,2832875790,2096409640
2020,강원,정신건강의학과,34233,283045,283045,13125456490,10368828620
2020,강원,외과,88248,361011,371934,13009198280,9844643980
2020,강원,정형외과,309182,1394365,1440367,57551166020,41574867590
2020,강원,신경외과,74987,389840,409770,14370086600,10595748020
2020,강원,성형외과,2275,5785,5785,273585980,193975470
2020,강원,마취통증의학과,63641,293252,293252,17895664430,12759884570
2020,강원,산부인과,129362,459729,507565,47389090290,38611093310
2020,강원,소아청소년과,166540,838009,841192,14211817680,11178638090
2020,강원,안과,337760,835862,835860,50900265730,38306150670
2020,강원,이비인후과,315203,971282,971397,25812309460,18847447410
2020,강원,피부과,134879,317694,317694,7186958410,5219188330
2020,강원,비뇨의학과,145623,444626,444626,17925113860,12979469020
2020,강원,"진단방사선과,영상의학과",21403,47775,47775,2859234210,2016190710
2020,강원,재활의학과,35319,230685,237898,7601258230,5667231650
2020,강원,가정의학과,55102,230075,230050,5114040340,3829255000
2020,강원,치과,585973,1849122,1833198,1.257E+11,89325272300
2020,강원,한방,346646,2430862,2430651,64345144370,49510356270
2020,충북,일반의,647869,3599657,3638989,97315890760,74417747320
2020,충북,내과,522858,2807135,2807747,94681900390,72822762690
2020,충북,신경과,27040,137653,137914,5492726440,4040091030
2020,충북,정신건강의학과,48417,385186,395737,18880225810,14921895520
2020,충북,외과,91653,436057,447751,18076633350,13750641650
2020,충북,정형외과,385756,1925377,2001888,70782043930,51508214920
2020,충북,신경외과,115367,589661,608069,21255866980,15571587530
2020,충북,흉부외과,23640,107978,112277,3764981430,2930666780
2020,충북,성형외과,1815,4182,4182,196903710,140401290
2020,충북,마취통증의학과,94606,471773,478463,24723736870,17642716640
2020,충북,산부인과,121347,461052,486507,37824972450,30005173370
2020,충북,소아청소년과,179316,891352,891268,14721421640,11515774780
2020,충북,안과,376139,963346,963332,60868783080,45603631640
2020,충북,이비인후과,400769,1286815,1287111,35552610090,25950373270
2020,충북,피부과,198497,553271,553257,14710670710,10586451890
2020,충북,비뇨의학과,132994,420947,420929,17394395690,12636584790
2020,충북,"진단방사선과,영상의학과",21696,28894,28893,3130480940,2184131360
2020,충북,재활의학과,34812,220265,220257,7342165410,5320196430
2020,충북,가정의학과,158150,710796,710795,13297033590,10086138040
2020,충북,치과,649719,2085021,2068895,1.353E+11,96017102140
2020,충북,한방,399633,2626249,2626915,70098099440,53154529040
2020,충남,일반의,909496,5763743,5796311,1.52952E+11,1.16566E+11
2020,충남,내과,683766,3618807,3618708,1.17719E+11,91683705160
2020,충남,신경과,45472,191205,191205,7460442760,5607968890
2020,충남,정신건강의학과,53409,403910,415185,17394707750,13582265190
2020,충남,외과,168238,856852,869036,29143217610,22046971850
2020,충남,정형외과,444237,2121900,2171517,72561070070,52953328530
2020,충남,신경외과,82232,430961,433018,14094199710,10478254300
2020,충남,흉부외과,3183,6520,6521,266432510,198823520
2020,충남,성형외과,4262,13981,16022,894178000,651969660
2020,충남,마취통증의학과,89124,430543,430951,22029384990,15715165520
2020,충남,산부인과,185426,658806,720208,63184773050,50654296600
2020,충남,소아청소년과,216409,1108537,1114567,20367183170,16031290080
2020,충남,안과,518546,1306887,1306896,72190075750,54533955190
2020,충남,이비인후과,517710,1582282,1583443,37845273560,27761921040
2020,충남,피부과,232020,636293,636293,15918707100,11505878260
2020,충남,비뇨의학과,195878,622111,622114,24088061050,17438181140
2020,충남,"진단방사선과,영상의학과",29733,68014,67969,3432081680,2426637820
2020,충남,재활의학과,42789,270865,270865,8372977640,6188485320
2020,충남,가정의학과,84632,406856,406760,8604637870,6495429760
2020,충남,치과,816747,2560916,2542131,1.66955E+11,1.18506E+11
2020,충남,한방,497436,3330082,3330066,90933937450,69519043150
2020,전북,일반의,484338,3493362,3541239,92466426460,72993736570
2020,전북,내과,714140,4399232,4407742,1.39816E+11,1.09586E+11
2020,전북,신경과,50614,233475,233693,8546249210,6373582220
2020,전북,정신건강의학과,62396,469380,475281,25410902890,20004751010
2020,전북,외과,138354,591390,622085,32270867250,24178959760
2020,전북,정형외과,399195,2123561,2292062,77458323320,57886538280
2020,전북,신경외과,90915,558108,584972,19896442640,15014247210
2020,전북,흉부외과,2464,11490,16181,1363058580,976662190
2020,전북,성형외과,13381,64562,68925,3046714870,2185541070
2020,전북,마취통증의학과,98645,495824,498994,25077872150,18095973620
2020,전북,산부인과,141982,420032,458569,33861238390,26744638590
2020,전북,소아청소년과,199609,1222685,1243626,23798082020,18843974430
2020,전북,안과,481491,1299964,1301410,71185737560,54884483240
2020,전북,이비인후과,451975,1491175,1500159,38029407510,28042373520
2020,전북,피부과,298544,788045,788045,17482745000,12782893890
2020,전북,비뇨의학과,122788,421444,421583,14432237080,10598370900
2020,전북,"진단방사선과,영상의학과",43777,64459,64458,7629431580,5339135500
2020,전북,재활의학과,29501,216972,216972,7041293130,5340998160
2020,전북,가정의학과,194288,1400280,1400278,27247713340,21634102980
2020,전북,치과,785259,2657567,2634006,1.799E+11,1.28186E+11
2020,전북,한방,455749,3449133,3476947,93683179600,72475574060
2020,전남,일반의,771999,7260052,7361116,1.72798E+11,1.36983E+11
2020,전남,내과,554674,3348084,3374967,99257147470,76427247120
2020,전남,신경과,45635,194696,201082,9477530750,6948018490
2020,전남,정신건강의학과,32934,247184,247184,18691679440,14990531440
2020,전남,외과,73886,447815,457569,14271367250,11047867970
2020,전남,정형외과,217196,1059179,1170015,47152306350,34803036930
2020,전남,신경외과,60497,352084,384677,14314021610,10677058280
2020,전남,흉부외과,3109,32076,32076,653759040,531711940
2020,전남,성형외과,3464,10091,10091,405812140,287158690
2020,전남,마취통증의학과,101044,516293,519910,27819196120,20030503630
2020,전남,산부인과,64293,159278,159278,7915443050,5735670370
2020,전남,소아청소년과,82168,330906,337265,6207701470,4899306840
2020,전남,안과,416049,1169845,1169846,61957646090,47580835900
2020,전남,이비인후과,377759,1140775,1150157,27109769490,20113894350
2020,전남,피부과,201122,506613,506613,13281019730,9595155270
2020,전남,비뇨의학과,149933,489413,491270,21721955900,15985244110
2020,전남,"진단방사선과,영상의학과",7234,9322,9322,1219732180,873560330
2020,전남,재활의학과,12191,92746,97890,4039993090,3052999750
2020,전남,가정의학과,55216,403947,403947,8883974050,6963017680
2020,전남,치과,650933,2159747,2139453,1.51706E+11,1.07829E+11
2020,전남,한방,397072,2842469,2851817,77952148670,61501865410
2020,경북,일반의,986014,6127496,6162862,1.55329E+11,1.18661E+11
2020,경북,내과,783415,4406772,4406652,1.41677E+11,1.09369E+11
2020,경북,신경과,48643,243910,243910,10117690840,7491596710
2020,경북,정신건강의학과,44672,330286,330286,16196799660,12732685450
2020,경북,외과,170006,857494,864396,26271340330,20318217340
2020,경북,정형외과,561400,2747147,2787000,89194411280,65093412400
2020,경북,신경외과,117346,589005,595235,21892679060,15826251420
2020,경북,흉부외과,2298,4669,4785,153680680,114001320
2020,경북,성형외과,4094,10248,10248,386077990,280619100
2020,경북,마취통증의학과,127592,658863,659324,33076742210,23654605860
2020,경북,산부인과,128451,426168,450533,32395519050,25135806420
2020,경북,소아청소년과,209351,945520,951516,17535703180,13647614850
2020,경북,안과,553245,1405598,1405467,71424402740,54408200040
2020,경북,이비인후과,552972,1780402,1781351,38515562010,28433912240
2020,경북,피부과,239574,676487,676487,16187349180,11784277860
2020,경북,비뇨의학과,224403,753543,753524,22290074190,16359662940
2020,경북,"진단방사선과,영상의학과",26951,44271,44269,4975474450,3381195300
2020,경북,재활의학과,39295,190824,190824,8871670880,6285835390
2020,경북,가정의학과,112384,519907,519906,8866640130,6810219370
2020,경북,치과,919345,2831039,2805555,1.99376E+11,1.4154E+11
2020,경북,한방,622703,4167417,4168373,1.11867E+11,86220157510
2020,경남,일반의,1240767,7630664,7731656,2.05919E+11,1.60247E+11
2020,경남,내과,1024804,5368248,5375856,1.65134E+11,1.2613E+11
2020,경남,신경과,37228,178306,185312,7999314930,5938492600
2020,경남,정신건강의학과,84176,640528,640528,29082411880,23099619190
2020,경남,외과,150422,727682,743634,29790860180,22498782530
2020,경남,정형외과,581780,2778219,2875752,99427371990,72384453410
2020,경남,신경외과,114411,594613,602410,21820572930,15879173780
2020,경남,흉부외과,3326,11760,11781,1026908110,771307850
2020,경남,성형외과,5021,13812,13812,614120820,426501830
2020,경남,마취통증의학과,187322,892948,892966,50448404440,35629388520
2020,경남,산부인과,188688,638252,678252,51321052370,39055506780
2020,경남,소아청소년과,230823,1026162,1035419,17762621140,13997141590
2020,경남,안과,815892,2162541,2162388,1.19563E+11,89575621900
2020,경남,이비인후과,742522,2306578,2320994,58035587680,42585680530
2020,경남,피부과,362727,1070998,1070998,28135780650,20271975150
2020,경남,비뇨의학과,257301,820704,820702,30117038630,21872722730
2020,경남,"진단방사선과,영상의학과",15420,21678,21678,1218613020,864918550
2020,경남,병리과,4,17,17,230900,162500
2020,경남,재활의학과,35675,179367,179367,6191213350,4444392270
2020,경남,가정의학과,108166,582982,582956,11541405430,8883846190
2020,경남,직업환경의학과,2915,10377,10377,176492780,129663270
2020,경남,치과,1234174,3849179,3817503,2.4858E+11,1.76428E+11
2020,경남,한방,718473,5376239,5381734,1.44897E+11,1.10396E+11
2020,제주,일반의,381574,2432965,2436151,60569526650,46274640990
2020,제주,내과,169405,833748,833731,30362545420,23364213490
2020,제주,신경과,4924,15195,15195,1156330550,847747250
2020,제주,정신건강의학과,23558,182426,182426,9469196010,7510911410
2020,제주,외과,25508,107079,109536,6179479920,4607430030
2020,제주,정형외과,169832,771017,771010,26680720030,18806883080
2020,제주,신경외과,35472,228398,228398,7382418430,5358901090
2020,제주,흉부외과,1547,4165,4179,241784780,178656020
2020,제주,성형외과,1008,2206,2206,65097240,46460140
2020,제주,마취통증의학과,40192,213478,213478,10262385390,7315001370
2020,제주,산부인과,63249,254337,276731,24723333230,19984848570
2020,제주,소아청소년과,69259,398103,398096,8117014330,6259455360
2020,제주,안과,181439,500199,500199,22402886120,16939044920
2020,제주,이비인후과,192096,707425,710077,21335836950,15801034300
2020,제주,피부과,83020,215298,215298,5203796390,3758859210
2020,제주,비뇨의학과,37458,113267,113267,5425370810,3877007280
2020,제주,"진단방사선과,영상의학과",991,1154,1154,66294820,46898220
2020,제주,재활의학과,18490,120043,120043,3877026670,2837143110
2020,제주,가정의학과,27591,175720,175720,3379686270,2655011300
2020,제주,치과,287320,950400,946090,55434502680,39426316100
2020,제주,한방,152561,1498389,1498591,39817870800,30603839620
2020,세종,일반의,130487,562948,564151,15153015740,11328447390
2020,세종,내과,118109,521754,521889,23349831630,17734078600
2020,세종,신경과,11103,47656,47656,1389243670,1039064220
2020,세종,정신건강의학과,11506,82407,82407,4713855990,3745434400
2020,세종,외과,23207,105719,106622,3535897590,2652235620
2020,세종,정형외과,79492,318251,324968,10294775670,7354899730
2020,세종,신경외과,14778,69536,69536,2136120740,1550776460
2020,세종,성형외과,1587,3755,3755,132440300,93950960
2020,세종,마취통증의학과,22916,98628,98628,4572238620,3219157470
2020,세종,산부인과,34590,125548,139011,12241816680,9946757070
2020,세종,소아청소년과,71905,511901,518922,11554252100,9118756870
2020,세종,안과,86695,173360,173360,8172790830,6005075320
2020,세종,이비인후과,102185,308680,309090,7395093080,5385812650
2020,세종,피부과,45189,114071,114071,3225428520,2294275360
2020,세종,비뇨의학과,29394,90922,90918,5586483770,3978567080
2020,세종,"진단방사선과,영상의학과",3433,13885,13885,1118581790,820912820
2020,세종,재활의학과,1678,7014,7014,387549890,273289170
2020,세종,가정의학과,13591,61069,61069,1390755110,1047357550
2020,세종,치과,147706,434774,432380,25399308240,18127848050
2020,세종,한방,77418,433456,433674,13223039000,9609676220
